player,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Cameron Young,10.36,9.22,8.52,7.9,7.53,7.21,6.86,6.45,6.39,5.83,5.6,5.14,4.79,4.42,3.78
Matt Fitzpatrick,9.95,8.89,8.4,7.87,7.49,7.05,6.86,6.43,6.25,6.04,5.73,5.4,5.13,4.54,3.95
Scottie Scheffler,9.68,8.71,8.18,7.7,7.47,7.15,6.9,6.7,6.26,6.06,5.72,5.47,5.1,4.84,4.07
Jon Rahm,8.18,7.91,7.58,7.24,7.15,6.96,6.97,6.71,6.54,6.39,6.08,6.02,5.9,5.43,4.94
Xander Schauffele,7.44,7.3,6.94,6.97,6.99,6.81,6.85,6.65,6.82,6.55,6.51,6.31,6.22,5.97,5.68
Tommy Fleetwood,6.87,6.96,7.0,6.93,6.87,6.91,6.88,6.84,6.55,6.56,6.54,6.47,6.33,6.39,5.93
Bryson DeChambeau,6.79,6.86,6.9,6.94,6.89,6.8,6.73,6.75,6.65,6.63,6.6,6.65,6.39,6.37,6.03
Ludvig Aberg,6.37,6.64,6.74,6.7,6.8,6.7,6.75,6.83,6.84,6.91,6.83,6.72,6.53,6.31,6.32
Collin Morikawa,5.61,5.9,6.27,6.45,6.51,6.61,6.65,6.7,6.85,6.83,7.01,7.14,7.15,7.23,7.09
Corey Conners,5.58,5.93,6.07,6.45,6.41,6.57,6.77,6.84,6.76,6.9,6.97,6.99,7.22,7.2,7.35
Tyrrell Hatton,5.58,5.98,6.25,6.41,6.4,6.51,6.5,6.87,6.9,6.96,7.03,6.96,7.11,7.14,7.39
Jordan Spieth,5.38,5.77,6.03,6.28,6.26,6.56,6.8,6.67,6.76,7.02,7.14,7.14,7.13,7.46,7.61
Justin Rose,4.86,5.36,5.63,5.96,6.18,6.33,6.37,6.7,6.94,7.04,7.22,7.46,7.69,7.94,8.32
Shane Lowry,4.35,4.9,5.28,5.67,5.89,6.23,6.3,6.62,6.86,7.19,7.31,7.75,8.17,8.38,9.11
Rory McIlroy,3.03,3.67,4.21,4.54,5.16,5.61,5.81,6.24,6.62,7.08,7.7,8.37,9.15,10.37,12.44
